Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CRNN|49860,0.915317869,-2.461955314,0.658939109,-3.736240996,0.000186792,0.000424348
CLDN20|49861,2.77686647,-0.178814471,0.175778475,-1.017271721,0.309024185,0.390103119
RRM2B|50484,2331.505365,-0.056204127,0.074055767,-0.758943285,0.447886484,0.539532047
SMARCAL1|50485,1366.267344,0.127068879,0.033578335,3.784251887,0.000154172,0.000354211
G0S2|50486,293.8210064,-2.298372551,0.159947734,-14.3695224,8.04E-47,1.65E-44
PLA2G3|50487,8.059782207,-2.660538742,0.336616272,-7.903773428,2.71E-15,2.46E-14
MINK1|50488,4120.259421,-0.227947738,0.055186354,-4.130509145,3.62E-05,9.14E-05
CD207|50489,136.1961281,-0.874270796,0.187053556,-4.673906312,2.96E-06,8.74E-06
DUOX2|50506,282.6543941,-2.731507534,0.28320033,-9.645142486,5.15E-22,1.10E-20
NOX4|50507,92.0780626,2.250060841,0.220818255,10.18965048,2.21E-24,6.36E-23
NOX3|50508,0.019284422,0.05360425,4.490987713,0.01193596,0.990476708,0.993783667
COL5A3|50509,309.9229311,0.155216895,0.16630934,0.933302331,0.350663892,0.435649829
SYCP3|50511,0.550746042,0.409112198,0.467483682,0.875136851,0.381499448,0.469392759
PODXL2|50512,6196.716101,1.446386356,0.117120878,12.34951767,4.90E-35,4.53E-33
DEC1|50514,0.181774811,-0.625664786,0.627070156,-0.997758833,0.318396317,0.400213264
CHST11|50515,164.000617,-1.548941255,0.13930465,-11.11909228,1.01E-28,4.84E-27
IL20|50604,5.097864921,-3.108480967,0.378280595,-8.217394735,2.08E-16,2.17E-15
UBQLN3|50613,0.119633478,0.244653046,0.929696631,0.263153632,0.792432168,0.866919645
GALNT9|50614,23.18735481,-1.746495528,0.242006596,-7.216726959,5.33E-13,3.64E-12
IL21R|50615,50.02886801,0.542446241,0.205050038,2.645433513,0.008158632,0.014385283
IL22|50616,0.093667714,0.063918215,1.248028193,0.051215362,0.959153911,0.983988191
ATP6V0A4|50617,35.19029743,-2.703643223,0.379241108,-7.129087972,1.01E-12,6.67E-12
ITSN2|50618,2122.461943,-0.324346311,0.06188528,-5.241089787,1.60E-07,5.57E-07
DEF6|50619,1447.356227,0.211481626,0.098856827,2.139271847,0.032413658,0.0513238
CUZD1|50624,26.89498185,0.349708833,0.124041506,2.81928883,0.004813019,0.008826785
CYHR1|50626,4052.218101,0.573568965,0.101318607,5.661042747,1.50E-08,6.01E-08
GEMIN4|50628,2549.897393,0.357513829,0.076866873,4.651078064,3.30E-06,9.69E-06
CALY|50632,5.079217849,0.671608793,0.299908452,2.239379346,0.025131244,0.040663577
ANO7|50636,7574.395134,0.735063956,0.194133988,3.786374365,0.000152861,0.000351365
PNPLA8|50640,1867.385309,-0.340089364,0.061867704,-5.497041965,3.86E-08,1.46E-07
ARHGEF4|50649,642.5623946,-0.828433208,0.108041362,-7.667741271,1.75E-14,1.43E-13
ARHGEF3|50650,1928.161015,-0.220515825,0.090296438,-2.442132039,0.014600805,0.024650922
SLC45A1|50651,291.3300051,-0.027230538,0.115590034,-0.235578595,0.813759685,0.885180801
PCA3|50652,18197.04429,3.475735309,0.286233519,12.1430059,6.25E-34,5.02E-32
NEUROG3|50674,0.333356423,0.568171428,1.012703185,0.561044377,0.574767285,0.665985139
RDH8|50700,0.088257391,0.174895244,1.095705738,0.159618809,0.873181362,0.933656113
DCAF8|50717,5272.870708,-0.128118313,0.031255486,-4.099066456,4.15E-05,0.000103911
